,,Total,,,   Monday,,,   Tuesday,,,   Wednesday,,,   Thursday,,,   Friday,,,   Saturday,,,   Sunday,,,   
Time,,sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),sales,labor,Staff(S/B/B/H/F),
Total	,week-12,$34530,$7625,(73/8/16/10/21),$4567,$946,(8/0/2/1/2),$4053,$1054,(9/0/3/2/2),$3326,$919,(11/0/2/2/3),$4210,$1253,(10/2/4/2/3),$7322,$1414,(13/2/3/1/4),$6084,$1219,(11/2/2/1/4),$4966,$817,(11/2/0/1/3),
	,week-13,$31815,$6421,(65/5/11/9/20),$2017,$705,(8/0/1/1/2),$3188,$714,(7/0/1/1/3),$4804,$841,(10/0/1/2/2),$2756,$908,(11/0/2/1/4),$6889,$1197,(10/1/2/1/4),$6184,$1179,(11/2/3/1/3),$5973,$874,(8/2/1/2/2),
	,week-14,$29185,$5810,(62/10/16/7/18),$2328,$460,(5/0/0/1/2),$1899,$774,(8/2/3/2/4),$2858,$770,(7/2/2/1/4),$3907,$751,(9/1/1/1/2),$6742,$1100,(10/2/3/2/2),$6981,$1125,(12/2/5/0/2),$4467,$826,(11/1/2/0/2),
	,week-15,$30805,$5781,(56/12/19/10/24),$2204,$496,(5/0/1/1/2),$1441,$619,(7/2/2/1/4),$3060,$713,(6/2/1/2/3),$4551,$925,(8/2/2/1/4),$7911,$1084,(9/2/3/1/4),$7177,$1062,(11/2/4/2/5),$4458,$879,(10/2/6/2/2),
	,week-16,$26357,$5239,(48/20/27/10/21),$1756,$373,(2/1/2/1/2),$2778,$552,(5/3/2/0/2),$2580,$710,(10/3/2/0/3),$1651,$626,(7/3/3/1/4),$7002,$1138,(9/3/6/2/4),$6575,$1044,(8/3/7/4/4),$4012,$793,(7/4/5/2/2),
	,week-17,$31022,$6060,(60/17/19/10/21),$1855,$498,(5/1/1/1/2),$1921,$608,(6/3/0/0/3),$3210,$575,(6/2/1/2/2),$4184,$859,(12/2/2/1/4),$8023,$1139,(9/3/4/1/4),$6431,$1349,(13/3/6/3/4),$5394,$1029,(9/3/5/2/2),
	,week-18,$28573,$6030,(60/13/22/11/23),$2759,$511,(5/1/1/1/2),$2126,$602,(6/2/1/1/3),$3581,$677,(9/2/2/2/3),$2631,$601,(7/2/2/1/5),$6069,$1407,(14/2/5/1/4),$5803,$1293,(11/2/7/3/4),$5600,$936,(8/2/4/2/2),
	,week-19,$44063,$6852,(59/13/28/8/32),$2129,$494,(4/1/2/1/2),$2758,$544,(5/2/1/0/3),$3548,$670,(7/2/3/0/3),$3143,$570,(7/2/3/0/8),$9628,$1464,(13/2/5/1/4),$9469,$1262,(10/2/6/2/4),$13386,$1845,(13/2/8/4/8),
	,week-20,$37465,$6064,(59/13/28/4/21),$3465,$510,(4/1/2/0/2),$2581,$547,(6/1/1/0/2),$4534,$713,(6/2/4/0/2),$4546,$845,(8/2/4/0/3),$7870,$1212,(11/2/7/1/4),$9008,$1275,(16/3/4/2/4),$5458,$960,(8/2/6/1/4),
	,week-21,$46587,$6841,(57/14/36/6/26),$3196,$529,(5/1/3/0/3),$5624,$619,(5/1/2/0/2),$8370,$1007,(8/2/3/0/2),$5755,$857,(8/2/4/0/4),$8263,$1378,(12/3/8/1/5),$7480,$1370,(11/2/9/2/6),$7896,$1077,(8/3/7/3/4),
	,week-22,$37849,$6420,(54/13/31/7/21),$4573,$778,(5/2/5/2/2),$3356,$567,(7/1/3/0/0),$3795,$688,(6/2/3/0/3),$5878,$838,(7/2/5/0/3),$7940,$1408,(13/2/5/1/5),$7853,$1203,(8/2/6/2/4),$4451,$934,(8/2/4/2/4),
